id,result,label
115,Rule Learning,5
116,Theory,6
117,5. Rule Learning,5
118,Genetic Algorithms,1
119,5. Rule Learning,5
120,5. Rule Learning,5
121,Reinforcement Learning,4
122,Theory,6
123,Theory,6
124,Genetic Algorithms,1
125,5. Rule Learning,5
126,1. Genetic Algorithms,1
127,Theory,6
128,5. Rule Learning,5
129,5. Rule Learning,5
130,3,3
131,Genetic Algorithms,1
132,5. Rule Learning,5
133,Genetic Algorithms,1
134,1,1
135,1. Genetic Algorithms,1
136,Neural Networks,2
137,1. Genetic Algorithms,1
138,Genetic Algorithms,1
139,Genetic Algorithms,1
140,4. Reinforcement Learning,4
141,Reinforcement Learning,4
142,Case Based,0
143,Probabilistic Methods,3
144,Theory,6
145,Theory,6
146,Reinforcement Learning,4
147,Theory,6
148,Reinforcement Learning,4
149,4. Reinforcement Learning,4
150,3. Probabilistic Methods,3
151,Reinforcement Learning,4
152,4. Reinforcement Learning,4
153,1. Genetic Algorithms,1
154,Neural Networks,2
155,Neural Networks,2
156,Neural Networks,2
157,4. Reinforcement Learning,4
158,Probabilistic Methods,3
159,3. Probabilistic Methods,3
160,3. Probabilistic Methods,3
161,Reinforcement Learning,4
162,2. Neural Networks,2
163,Neural Networks,2
164,3,3
165,Probabilistic Methods,3
166,4. Reinforcement Learning,4
167,3. Probabilistic Methods,3
168,3. Probabilistic Methods,3
169,3. Probabilistic Methods,3
170,Neural Networks,2
171,3. Probabilistic Methods,3
172,Rule Learning,5
173,Neural Networks,2
174,Neural Networks,2
175,Theory,6
176,1. Genetic Algorithms,1
177,4. Reinforcement Learning,4
178,3. Probabilistic Methods,3
179,3,3
180,3. Probabilistic Methods,3
181,Rule Learning,5
182,Probabilistic Methods,3
183,2. Genetic Algorithms,1
184,2. Neural Networks,2
185,3,3
186,Genetic Algorithms,1
187,4. Reinforcement Learning,4
188,Neural Networks,2
189,Neural Networks,2
190,Theory,6
191,Genetic Algorithms,1
192,Case Based,0
193,Rule Learning,5
194,Reinforcement Learning,4
195,Reinforcement Learning,4
196,Reinforcement Learning,4
197,Neural Networks,2
198,Reinforcement Learning,4
199,Probabilistic Methods,3
200,3. Probabilistic Methods,3
201,3,3
202,2. Neural Networks,2
203,Reinforcement Learning,4
204,3,3
205,Probabilistic Methods,3
206,Neural Networks,2
207,3. Probabilistic Methods,3
208,5. Rule Learning,5
209,Reinforcement Learning,4
210,Theory,6
211,Neural Networks,2
212,3. Probabilistic Methods,3
213,Theory,6
214,Case Based,0
215,Genetic Algorithms,1
216,3. Probabilistic Methods,3
217,Reinforcement Learning,4
218,Probabilistic Methods,3
219,Probabilistic Methods,3
220,5. Rule Learning,5
221,Neural Networks,2
222,Neural Networks,2
223,Neural Networks,2
224,4. Reinforcement Learning,4
225,4. Reinforcement Learning,4
226,3. Probabilistic Methods,3
227,Neural Networks,2
228,Neural Networks,2
229,3,3
230,3. Probabilistic Methods,3
231,3. Probabilistic Methods,3
232,3. Probabilistic Methods,3
233,5. Rule Learning,5
234,Genetic Algorithms,1
235,Probabilistic Methods,3
236,Genetic Algorithms,1
237,3. Probabilistic Methods,3
238,5. Rule Learning,5
239,Neural Networks,2
240,3,3
241,Rule Learning,5
242,Neural Networks,2
243,Reinforcement Learning,4
244,Neural Networks,2
245,4. Reinforcement Learning,4
246,Neural Networks,2
247,Neural Networks,2
248,4. Reinforcement Learning,4
249,5. Rule Learning,5
250,Neural Networks,2
251,4. Reinforcement Learning,4
252,Case Based,0
253,3. Probabilistic Methods,3
254,3. Probabilistic Methods,3
255,Reinforcement Learning,4
256,3. Probabilistic Methods,3
257,Case Based,0
258,Reinforcement Learning,4
259,Rule Learning,5
260,Case Based,0
261,Probabilistic Methods,3
262,Theory,6
263,Neural Networks,2
264,Neural Networks,2
265,3,3
266,Rule Learning,5
267,3. Probabilistic Methods,3
268,Neural Networks,2
269,3. Probabilistic Methods,3
270,3,3
271,4. Reinforcement Learning,4
272,Probabilistic Methods,3
273,3,3
274,Neural Networks,2
275,Reinforcement Learning,4
276,3,3
277,3,3
278,Neural Networks,2
279,4. Reinforcement Learning,4
280,Reinforcement Learning,4
281,3. Probabilistic Methods,3
282,5. Rule Learning,5
283,4. Reinforcement Learning,4
284,Reinforcement Learning,4
285,1. Genetic Algorithms,1
286,Reinforcement Learning,4
287,3,3
288,3. Probabilistic Methods,3
289,Neural Networks,2
290,Neural Networks,2
291,3. Probabilistic Methods,3
292,Case Based,0
293,Reinforcement Learning,4
294,1. Genetic Algorithms,1
295,3. Probabilistic Methods,3
296,Neural Networks,2
297,3. Probabilistic Methods,3
298,3. Probabilistic Methods,3
299,Genetic Algorithms,1
300,Rule Learning,5
301,Neural Networks,2
302,Neural Networks,2
303,1. Genetic Algorithms,1
304,1,1
305,Neural Networks,2
306,1. Genetic Algorithms,1
307,6,6
308,2. Genetic Algorithms,1
309,Neural Networks,2
310,Reinforcement Learning,4
311,3. Probabilistic Methods,3
312,2,2
313,3,3
314,1. Genetic Algorithms,1
315,Case Based,0
316,Neural Networks,2
317,4. Reinforcement Learning,4
318,1. Genetic Algorithms,1
319,Neural Networks,2
320,Reinforcement Learning,4
321,3. Probabilistic Methods,3
322,Neural Networks,2
323,4,4
324,3. Probabilistic Methods,3
325,Case Based,0
326,Neural Networks,2
327,3. Probabilistic Methods,3
328,Neural Networks,2
329,1. Genetic Algorithms,1
330,Reinforcement Learning,4
331,Theory,6
332,4. Reinforcement Learning,4
333,Neural Networks,2
334,3,3
335,3. Probabilistic Methods,3
336,3. Probabilistic Methods,3
337,Neural Networks,2
338,3. Probabilistic Methods,3
339,4. Reinforcement Learning,4
340,Reinforcement Learning,4
341,Neural Networks,2
342,5. Rule Learning,5
343,3. Probabilistic Methods,3
344,5. Rule Learning,5
345,3. Probabilistic Methods,3
346,Neural Networks,2
347,Case Based,0
348,4. Reinforcement Learning,4
349,3. Probabilistic Methods,3
350,Genetic Algorithms,1
351,3. Probabilistic Methods,3
352,3. Probabilistic Methods,3
353,2. Neural Networks,2
354,Theory,6
355,Neural Networks,2
356,Case Based,0
357,Neural Networks,2
358,Neural Networks,2
359,1. Genetic Algorithms,1
360,Rule Learning,5
361,4. Reinforcement Learning,4
362,Reinforcement Learning,4
363,Neural Networks,2
364,Neural Networks,2
365,Case Based,0
366,Probabilistic Methods,3
367,Neural Networks,2
368,Reinforcement Learning,4
369,Reinforcement Learning,4
370,Rule Learning,5
371,Rule Learning,5
372,Neural Networks,2
373,Case Based,0
374,Probabilistic Methods,3
375,4. Reinforcement Learning,4
376,Neural Networks,2
377,Probabilistic Methods,3
378,Reinforcement Learning,4
379,5. Rule Learning,5
380,3,3
381,4. Reinforcement Learning,4
382,4. Reinforcement Learning,4
383,Probabilistic Methods,3
384,Genetic Algorithms,1
385,Neural Networks,2
386,3,3
387,3. Probabilistic Methods,3
388,5. Rule Learning,5
389,2. Neural Networks,2
390,3. Probabilistic Methods,3
391,Neural Networks,2
392,5. Rule Learning,5
393,5. Rule Learning,5
394,Reinforcement Learning,4
395,3,3
396,3,3
397,Probabilistic Methods,3
398,Probabilistic Methods,3
399,1. Genetic Algorithms,1
400,5. Rule Learning,5
401,Neural Networks,2
402,3. Probabilistic Methods,3
403,Neural Networks,2
404,4,4
405,Case Based,0
406,1. Genetic Algorithms,1
407,1. Case Based,1
408,Case Based,0
409,Case Based,0
410,5. Rule Learning,5
411,3. Probabilistic Methods,3
412,6,6
413,3. Probabilistic Methods,3
414,Theory,6
415,Case Based,0
416,Probabilistic Methods,3
417,Probabilistic Methods,3
418,3. Probabilistic Methods,3
419,Rule Learning,5
420,Neural Networks,2
421,Probabilistic Methods,3
422,Case Based,0
423,Reinforcement Learning,4
424,Reinforcement Learning,4
425,Neural Networks,2
426,Genetic Algorithms,1
427,Neural Networks,2
428,4. Reinforcement Learning,4
429,4. Reinforcement Learning,4
430,Reinforcement Learning,4
431,4. Reinforcement Learning,4
432,3,3
433,Reinforcement Learning,4
434,Case Based,0
435,Neural Networks,2
436,4. Reinforcement Learning,4
437,Rule Learning,5
438,Neural Networks,2
439,Neural Networks,2
440,Neural Networks,2
441,Rule Learning,5
442,Reinforcement Learning,4
443,4. Reinforcement Learning,4
444,Reinforcement Learning,4
445,3. Probabilistic Methods,3
446,Rule Learning,5
447,Theory,6
448,Rule Learning,5
449,Neural Networks,2
450,4. Reinforcement Learning,4
451,5. Rule Learning,5
452,1. Genetic Algorithms,1
453,3. Probabilistic Methods,3
454,Rule Learning,5
455,3. Probabilistic Methods,3
456,Genetic Algorithms,1
457,3. Probabilistic Methods,3
458,Rule Learning,5
459,1. Genetic Algorithms,1
460,3. Probabilistic Methods,3
461,3,3
462,2. Neural Networks,2
463,4. Reinforcement Learning,4
464,Neural Networks,2
465,3. Probabilistic Methods,3
466,Neural Networks,2
467,3. Probabilistic Methods,3
468,1. Genetic Algorithms,1
469,2,2
470,4. Reinforcement Learning,4
471,Case Based,0
472,Rule Learning,5
473,Reinforcement Learning,4
474,5. Rule Learning,5
475,Case Based,0
476,2. Genetic Algorithms,1
477,3,3
478,Rule Learning,5
479,Rule Learning,5
480,Neural Networks,2
481,Neural Networks,2
482,3. Probabilistic Methods,3
483,Neural Networks,2
484,Genetic Algorithms,1
485,Case Based,0
486,1. Genetic Algorithms,1
487,3,3
488,4. Reinforcement Learning,4
489,Neural Networks,2
490,Rule Learning,5
491,Theory,6
492,Reinforcement Learning,4
493,2. Neural Networks,2
494,Neural Networks,2
495,Theory,6
496,Theory,6
497,Case Based,0
498,3. Probabilistic Methods,3
499,Theory,6
500,3. Probabilistic Methods,3
501,Neural Networks,2
502,3. Probabilistic Methods,3
503,Reinforcement Learning,4
504,1,1
505,Genetic Algorithms,1
506,6.,6
507,Probabilistic Methods,3
508,Genetic Algorithms,1
509,3. Probabilistic Methods,3
510,3,3
511,3. Probabilistic Methods,3
512,3. Probabilistic Methods,3
513,2. Neural Networks,2
514,5. Rule Learning,5
515,Reinforcement Learning,4
516,Probabilistic Methods,3
517,2. Genetic Algorithms,1
518,Case Based,0
519,Probabilistic Methods,3
520,Neural Networks,2
521,Neural Networks,2
522,Neural Networks,2
523,Reinforcement Learning,4
524,Neural Networks,2
525,Case Based,0
526,Neural Networks,2
527,Case Based,0
528,5. Rule Learning,5
529,4. Reinforcement Learning,4
530,Case Based,0
531,1. Genetic Algorithms,1
532,3. Probabilistic Methods,3
533,Neural Networks,2
534,Neural Networks,2
535,Neural Networks,2
536,Neural Networks,2
537,Theory,6
538,Reinforcement Learning,4
539,3,3
540,Rule Learning,5
541,5. Rule Learning,5
542,1,1
543,Case Based,0
544,Genetic Algorithms,1
545,4. Reinforcement Learning,4
546,Reinforcement Learning,4
547,3. Probabilistic Methods,3
548,Probabilistic Methods,3
549,Probabilistic Methods,3
550,Theory,6
551,Genetic Algorithms,1
552,Neural Networks,2
553,3. Probabilistic Methods,3
554,Theory,6
555,3,3
556,2. Genetic Algorithms,1
557,Neural Networks,2
558,Neural Networks,2
559,Rule Learning,5
560,4. Reinforcement Learning,4
561,3,3
562,2. Genetic Algorithms,1
563,3,3
564,Neural Networks,2
565,Neural Networks,2
566,4. Reinforcement Learning,4
567,Neural Networks,2
568,3. Probabilistic Methods,3
569,Neural Networks,2
570,Neural Networks,2
571,3. Probabilistic Methods,3
572,Probabilistic Methods,3
573,Rule Learning,5
574,3. Probabilistic Methods,3
575,3. Probabilistic Methods,3
576,Probabilistic Methods,3
577,4. Reinforcement Learning,4
578,Neural Networks,2
579,Neural Networks,2
580,Neural Networks,2
581,3,3
582,Reinforcement Learning,4
583,Reinforcement Learning,4
584,4. Reinforcement Learning,4
585,Reinforcement Learning,4
586,Case Based,0
587,Rule Learning,5
588,4. Reinforcement Learning,4
589,Reinforcement Learning,4
590,1,1
591,Probabilistic Methods,3
592,2. Neural Networks,2
593,Reinforcement Learning,4
594,Theory,6
595,3. Probabilistic Methods,3
596,5. Rule Learning,5
597,Reinforcement Learning,4
598,3. Probabilistic Methods,3
599,3. Probabilistic Methods,3
600,6,6
601,Probabilistic Methods,3
602,4. Reinforcement Learning,4
603,3. Probabilistic Methods,3
604,Theory,6
605,3. Probabilistic Methods,3
606,3. Probabilistic Methods,3
607,3,3
608,Genetic Algorithms,1
609,Neural Networks,2
610,Rule Learning,5
611,Theory,6
612,5. Rule Learning,5
613,Neural Networks,2
614,Probabilistic Methods,3
615,Neural Networks,2
616,Neural Networks,2
617,Reinforcement Learning,4
618,Probabilistic Methods,3
619,Case Based,0
620,Probabilistic Methods,3
621,3. Probabilistic Methods,3
622,3. Probabilistic Methods,3
623,4. Reinforcement Learning,4
624,Reinforcement Learning,4
625,3. Probabilistic Methods,3
626,Genetic Algorithms,1
627,4. Reinforcement Learning,4
628,Neural Networks,2
629,Neural Networks,2
630,5. Rule Learning,5
631,Neural Networks,2
632,Neural Networks,2
633,3. Probabilistic Methods,3
634,5. Rule Learning,5
635,Rule Learning,5
636,Neural Networks,2
637,3. Probabilistic Methods,3
638,4. Reinforcement Learning,4
639,3. Probabilistic Methods,3
640,3. Probabilistic Methods,3
641,Neural Networks,2
642,Genetic Algorithms,1
643,5. Rule Learning,5
644,Neural Networks,2
645,5. Rule Learning,5
646,Rule Learning,5
647,5. Rule Learning,5
648,Rule Learning,5
649,3. Probabilistic Methods,3
650,Neural Networks,2
651,Reinforcement Learning,4
652,Reinforcement Learning,4
653,3. Probabilistic Methods,3
654,Reinforcement Learning,4
655,Neural Networks,2
656,Genetic Algorithms,1
657,Neural Networks,2
658,3. Probabilistic Methods,3
659,Theory,6
660,Genetic Algorithms,1
661,Rule Learning,5
662,Probabilistic Methods,3
663,Theory,6
664,3. Probabilistic Methods,3
665,Reinforcement Learning,4
666,3. Probabilistic Methods,3
667,Case Based,0
668,3,3
669,3. Probabilistic Methods,3
670,3. Probabilistic Methods,3
671,Genetic Algorithms,1
672,Rule Learning,5
673,3. Probabilistic Methods,3
674,Reinforcement Learning,4
675,3,3
676,Rule Learning,5
677,4. Reinforcement Learning,4
678,Probabilistic Methods,3
679,Case Based,0
680,Case Based,0
681,Probabilistic Methods,3
682,Neural Networks,2
683,Neural Networks,2
684,Neural Networks,2
685,3,3
686,Neural Networks,2
687,Neural Networks,2
688,Reinforcement Learning,4
689,Neural Networks,2
690,3,3
691,1. Genetic Algorithms,1
692,3,3
693,Case Based,0
694,Rule Learning,5
695,5. Rule Learning,5
696,Neural Networks,2
697,3. Probabilistic Methods,3
698,Reinforcement Learning,4
699,1. Genetic Algorithms,1
700,3. Probabilistic Methods,3
701,Rule Learning,5
702,Rule Learning,5
703,5. Rule Learning,5
704,Neural Networks,2
705,Reinforcement Learning,4
706,Reinforcement Learning,4
707,Case Based,0
708,3,3
709,5. Rule Learning,5
710,3. Probabilistic Methods,3
711,6,6
712,Theory,6
713,2. Neural Networks,2
714,Reinforcement Learning,4
715,Neural Networks,2
716,3. Probabilistic Methods,3
717,Reinforcement Learning,4
718,Rule Learning,5
719,Neural Networks,2
720,Rule Learning,5
721,Neural Networks,2
722,3. Probabilistic Methods,3
723,Neural Networks,2
724,Theory,6
725,Rule Learning,5
726,Reinforcement Learning,4
727,3. Probabilistic Methods,3
728,Case Based,0
729,4. Reinforcement Learning,4
730,3. Probabilistic Methods,3
731,Neural Networks,2
732,Neural Networks,2
733,Neural Networks,2
734,Case Based,0
735,5. Rule Learning,5
736,3,3
737,Probabilistic Methods,3
738,Neural Networks,2
739,5. Rule Learning,5
740,3. Probabilistic Methods,3
741,Genetic Algorithms,1
742,1. Genetic Algorithms,1
743,Probabilistic Methods,3
744,Neural Networks,2
745,3. Probabilistic Methods,3
746,3. Probabilistic Methods,3
747,Rule Learning,5
748,Neural Networks,2
749,Genetic Algorithms,1
750,Rule Learning,5
751,Theory,6
752,Neural Networks,2
753,5. Rule Learning,5
754,Neural Networks,2
755,Probabilistic Methods,3
756,3. Probabilistic Methods,3
757,2. Neural Networks,2
758,Neural Networks,2
759,Neural Networks,2
760,Neural Networks,2
761,4. Reinforcement Learning,4
762,Neural Networks,2
763,Neural Networks,2
764,2. Neural Networks,2
765,3,3
766,3. Probabilistic Methods,3
767,Probabilistic Methods,3
768,Neural Networks,2
769,Neural Networks,2
770,2. Neural Networks,2
771,4. Reinforcement Learning,4
772,Theory,6
773,Genetic Algorithms,1
774,4. Reinforcement Learning,4
775,3. Probabilistic Methods,3
776,Probabilistic Methods,3
777,Theory,6
778,1. Genetic Algorithms,1
779,Theory,6
780,Reinforcement Learning,4
781,Genetic Algorithms,1
782,4. Reinforcement Learning,4
783,Reinforcement Learning,4
784,3. Probabilistic Methods,3
785,1. Genetic Algorithms,1
786,Case Based,0
787,4. Reinforcement Learning,4
788,3. Probabilistic Methods,3
789,4. Reinforcement Learning,4
790,3. Probabilistic Methods,3
791,3,3
792,Probabilistic Methods,3
793,Rule Learning,5
794,4. Reinforcement Learning,4
795,Genetic Algorithms,1
796,Neural Networks,2
797,Neural Networks,2
798,4. Reinforcement Learning,4
799,Probabilistic Methods,3
800,Neural Networks,2
801,5. Rule Learning,5
802,4. Reinforcement Learning,4
803,5. Rule Learning,5
804,Neural Networks,2
805,Reinforcement Learning,4
806,Neural Networks,2
807,5. Rule Learning,5
808,Reinforcement Learning,4
809,Genetic Algorithms,1
810,Reinforcement Learning,4
811,3. Probabilistic Methods,3
812,3. Probabilistic Methods,3
813,Reinforcement Learning,4
814,Reinforcement Learning,4
815,Rule Learning,5
816,Rule Learning,5
817,Neural Networks,2
818,Probabilistic Methods,3
819,Neural Networks,2
820,Neural Networks,2
821,3. Probabilistic Methods,3
822,Theory,6
823,Neural Networks,2
824,Neural Networks,2
825,Neural Networks,2
826,Rule Learning,5
827,3,3
828,4. Reinforcement Learning,4
829,3. Probabilistic Methods,3
830,1. Genetic Algorithms,1
831,Neural Networks,2
832,3,3
833,Probabilistic Methods,3
834,Neural Networks,2
835,3. Probabilistic Methods,3
836,3. Probabilistic Methods,3
837,Reinforcement Learning,4
838,3,3
839,Case Based,0
840,5. Rule Learning,5
841,Genetic Algorithms,1
842,Theory,6
843,3,3
844,5. Rule Learning,5
845,Probabilistic Methods,3
846,3. Probabilistic Methods,3
847,Case Based,0
848,Neural Networks,2
849,Reinforcement Learning,4
850,6,6
851,Case Based,0
852,Genetic Algorithms,1
853,Neural Networks,2
854,Reinforcement Learning,4
855,3,3
856,4. Reinforcement Learning,4
857,Reinforcement Learning,4
858,Case Based,0
859,2. Neural Networks,2
860,3,3
861,Probabilistic Methods,3
862,Probabilistic Methods,3
863,Reinforcement Learning,4
864,1. Genetic Algorithms,1
865,Case Based,0
866,3. Probabilistic Methods,3
867,Neural Networks,2
868,Probabilistic Methods,3
869,Probabilistic Methods,3
870,3. Probabilistic Methods,3
871,Neural Networks,2
872,3. Probabilistic Methods,3
873,Neural Networks,2
874,3. Probabilistic Methods,3
875,3. Probabilistic Methods,3
876,Neural Networks,2
877,Genetic Algorithms,1
878,Probabilistic Methods,3
879,Probabilistic Methods,3
880,Theory,6
881,Neural Networks,2
882,Neural Networks,2
883,Neural Networks,2
884,4. Reinforcement Learning,4
885,Rule Learning,5
886,3. Probabilistic Methods,3
887,1. Genetic Algorithms,1
888,Case Based,0
889,Genetic Algorithms,1
890,5. Rule Learning,5
891,Rule Learning,5
892,3. Probabilistic Methods,3
893,Reinforcement Learning,4
894,3,3
895,Rule Learning,5
896,Theory,6
897,Neural Networks,2
898,Theory,6
899,Probabilistic Methods,3
900,Neural Networks,2
901,Neural Networks,2
902,Neural Networks,2
903,Reinforcement Learning,4
904,5. Rule Learning,5
905,Neural Networks,2
906,Reinforcement Learning,4
907,Theory,6
908,Genetic Algorithms,1
909,Probabilistic Methods,3
910,1. Genetic Algorithms,1
911,Reinforcement Learning,4
912,Probabilistic Methods,3
913,Rule Learning,5
914,3. Probabilistic Methods,3
915,Neural Networks,2
916,3. Probabilistic Methods,3
917,Case Based,0
918,3. Probabilistic Methods,3
919,Neural Networks,2
920,3. Probabilistic Methods,3
921,Theory,6
922,Reinforcement Learning,4
923,3. Probabilistic Methods,3
924,4. Reinforcement Learning,4
925,Rule Learning,5
926,Probabilistic Methods,3
927,3. Probabilistic Methods,3
928,3. Probabilistic Methods,3
929,Neural Networks,2
930,3. Probabilistic Methods,3
931,Neural Networks,2
932,3. Probabilistic Methods,3
933,Neural Networks,2
934,Neural Networks,2
935,Rule Learning,5
936,Neural Networks,2
937,2. Neural Networks,2
938,3. Probabilistic Methods,3
939,Theory,6
940,5. Rule Learning,5
941,5. Rule Learning,5
942,3. Probabilistic Methods,3
943,Reinforcement Learning,4
944,3. Probabilistic Methods,3
945,Rule Learning,5
946,Reinforcement Learning,4
947,4. Reinforcement Learning,4
948,Genetic Algorithms,1
949,Reinforcement Learning,4
950,Rule Learning,5
951,2. Neural Networks,2
952,Rule Learning,5
953,3. Probabilistic Methods,3
954,4,4
955,Theory,6
956,4. Reinforcement Learning,4
957,Neural Networks,2
958,Neural Networks,2
959,3. Probabilistic Methods,3
960,Probabilistic Methods,3
961,2. Genetic Algorithms,1
962,3. Probabilistic Methods,3
963,Reinforcement Learning,4
964,4. Reinforcement Learning,4
965,Case Based,0
966,Rule Learning,5
967,Case Based,0
968,3. Probabilistic Methods,3
969,Genetic Algorithms,1
970,Neural Networks,2
971,5. Rule Learning,5
972,3. Probabilistic Methods,3
973,Theory,6
974,Probabilistic Methods,3
975,3,3
976,2. Neural Networks,2
977,Neural Networks,2
978,Neural Networks,2
979,Neural Networks,2
980,Genetic Algorithms,1
981,3. Probabilistic Methods,3
982,3,3
983,4. Reinforcement Learning,4
984,Neural Networks,2
985,Neural Networks,2
986,4. Reinforcement Learning,4
987,Neural Networks,2
988,3. Probabilistic Methods,3
989,4. Reinforcement Learning,4
990,3. Probabilistic Methods,3
991,4. Reinforcement Learning,4
992,Reinforcement Learning,4
993,Neural Networks,2
994,3. Probabilistic Methods,3
995,Neural Networks,2
996,Reinforcement Learning,4
997,2. Neural Networks,2
998,Neural Networks,2
999,Neural Networks,2
1000,Probabilistic Methods,3
1001,Reinforcement Learning,4
1002,3. Probabilistic Methods,3
1003,Neural Networks,2
1004,3,3
1005,3. Probabilistic Methods,3
1006,Case Based,0
1007,Neural Networks,2
1008,Case Based,0
1009,1. Genetic Algorithms,1
1010,4. Reinforcement Learning,4
1011,1. Genetic Algorithms,1
1012,3. Probabilistic Methods,3
1013,Theory,6
1014,Probabilistic Methods,3
1015,Reinforcement Learning,4
1016,Neural Networks,2
1017,Case Based,0
1018,Reinforcement Learning,4
1019,3. Probabilistic Methods,3
1020,3. Probabilistic Methods,3
1021,3. Probabilistic Methods,3
1022,5. Rule Learning,5
1023,3. Probabilistic Methods,3
1024,3. Probabilistic Methods,3
1025,Neural Networks,2
1026,4. Reinforcement Learning,4
1027,5. Rule Learning,5
1028,Rule Learning,5
1029,Rule Learning,5
1030,Neural Networks,2
1031,3. Probabilistic Methods,3
1032,3,3
1033,Neural Networks,2
1034,Neural Networks,2
1035,2. Neural Networks,2
1036,2. Neural Networks:,2
1037,Neural Networks,2
1038,Neural Networks,2
1039,4. Reinforcement Learning,4
1040,Neural Networks,2
1041,Neural Networks,2
1042,Case Based,0
1043,3. Probabilistic Methods,3
1044,Neural Networks,2
1045,Genetic Algorithms,1
1046,Reinforcement Learning,4
1047,Genetic Algorithms,1
1048,3. Probabilistic Methods,3
1049,3. Probabilistic Methods,3
1050,4. Reinforcement Learning,4
1051,Reinforcement Learning,4
1052,3,3
1053,Genetic Algorithms,1
1054,3. Probabilistic Methods,3
1055,3. Probabilistic Methods,3
1056,3. Probabilistic Methods,3
1057,Neural Networks,2
1058,Theory,6
1059,3,3
1060,Rule Learning,5
1061,Reinforcement Learning,4
1062,1. Genetic Algorithms,1
1063,3. Probabilistic Methods,3
1064,Reinforcement Learning,4
1065,Genetic Algorithms,1
1066,Probabilistic Methods,3
1067,Neural Networks,2
1068,4. Reinforcement Learning,4
1069,Case Based,0
1070,Rule Learning,5
1071,4. Reinforcement Learning,4
1072,Neural Networks,2
1073,3. Probabilistic Methods,3
1074,Theory,6
1075,Probabilistic Methods,3
1076,Theory,6
1077,Neural Networks,2
1078,Neural Networks,2
1079,Reinforcement Learning,4
1080,Neural Networks,2
1081,4. Reinforcement Learning,4
1082,4. Reinforcement Learning,4
1083,3. Probabilistic Methods,3
1084,3,3
1085,Theory,6
1086,3. Probabilistic Methods,3
1087,Reinforcement Learning,4
1088,Genetic Algorithms,1
1089,Genetic Algorithms,1
1090,3. Probabilistic Methods,3
1091,Neural Networks,2
1092,Probabilistic Methods,3
1093,3. Probabilistic Methods,3
1094,4. Reinforcement Learning,4
1095,Probabilistic Methods,3
1096,3. Probabilistic Methods,3
1097,4. Reinforcement Learning,4
1098,3. Probabilistic Methods,3
1099,Probabilistic Methods,3
1100,3,3
1101,3. Probabilistic Methods,3
1102,Reinforcement Learning,4
1103,Neural Networks,2
1104,Case Based,0
1105,5. Rule Learning,5
